age,sex,uw_class,monthly,source
5,female,preferred_plus_nt,8.44,flyer_rates_compare_rev_10_25
5,male,preferred_plus_nt,8.92,flyer_rates_compare_rev_10_25
18,female,preferred_tobacco,12.16,agent_center_interpolated
18,female,standard_tobacco,12.26,agent_center_interpolated
18,male,preferred_tobacco,10.83,agent_center_interpolated
18,male,standard_tobacco,10.93,agent_center_interpolated
19,female,preferred_tobacco,12.41,agent_center_interpolated
19,female,standard_tobacco,12.52,agent_center_interpolated
19,male,preferred_tobacco,11.15,agent_center_interpolated
19,male,standard_tobacco,11.26,agent_center_interpolated
20,female,preferred_tobacco,12.65,agent_center_interpolated
20,female,standard_tobacco,12.76,agent_center_interpolated
20,male,preferred_tobacco,11.47,agent_center_protect_10pay
20,male,standard_tobacco,11.58,agent_center_protect_10pay
21,female,preferred_tobacco,12.88,agent_center_interpolated
21,female,standard_tobacco,12.99,agent_center_interpolated
21,male,preferred_tobacco,11.79,agent_center_interpolated
21,male,standard_tobacco,11.90,agent_center_interpolated
22,female,preferred_tobacco,13.11,agent_center_interpolated
22,female,standard_tobacco,13.23,agent_center_interpolated
22,male,preferred_tobacco,12.11,agent_center_interpolated
22,male,standard_tobacco,12.23,agent_center_interpolated
23,female,preferred_tobacco,13.33,agent_center_interpolated
23,female,standard_tobacco,13.45,agent_center_interpolated
23,male,preferred_tobacco,12.43,agent_center_interpolated
23,male,standard_tobacco,12.55,agent_center_interpolated
24,female,preferred_tobacco,13.54,agent_center_interpolated
24,female,standard_tobacco,13.67,agent_center_interpolated
24,male,preferred_tobacco,12.75,agent_center_interpolated
24,male,standard_tobacco,12.88,agent_center_interpolated
25,female,preferred_plus_nt,10.22,flyer_rates_compare_rev_10_25
25,female,preferred_tobacco,13.76,agent_center_interpolated
25,female,standard_tobacco,13.88,agent_center_interpolated
25,male,preferred_plus_nt,10.92,flyer_rates_compare_rev_10_25
25,male,preferred_tobacco,13.08,agent_center_interpolated
25,male,standard_tobacco,13.20,agent_center_interpolated
26,female,preferred_tobacco,13.96,agent_center_interpolated
26,female,standard_tobacco,14.08,agent_center_interpolated
26,male,preferred_tobacco,13.40,agent_center_interpolated
26,male,standard_tobacco,13.52,agent_center_interpolated
27,female,preferred_tobacco,14.16,agent_center_interpolated
27,female,standard_tobacco,14.29,agent_center_interpolated
