carrier,product,state,age,sex,smoker,face_amount,health_class,monthly_premium,rank_in_quote,is_best,is_mvi_appointed,integrity_carrier,integrity_product,harvest_batch_id,source_date
transamerica,immediate_solution_preferred,NE,5,male,0,5000,standard_nt,9.72,1,1,1,Transamerica Life Insurance Co.,Immediate Solution - Preferred,2026-08-14,2026-08-14
transamerica,immediate_solution_standard,NE,5,male,0,5000,standard_nt,10.38,2,0,1,Transamerica Life Insurance Co.,Immediate Solution - Standard,2026-08-14,2026-08-14
transamerica,immediate_solution_preferred,NE,5,male,0,10000,standard_nt,15.82,1,1,1,Transamerica Life Insurance Co.,Immediate Solution - Preferred,2026-08-14,2026-08-14
transamerica,immediate_solution_standard,NE,5,male,0,10000,standard_nt,17.16,2,0,1,Transamerica Life Insurance Co.,Immediate Solution - Standard,2026-08-14,2026-08-14
transamerica,immediate_solution_preferred,NE,5,male,0,15000,standard_nt,21.93,1,1,1,Transamerica Life Insurance Co.,Immediate Solution - Preferred,2026-08-14,2026-08-14
transamerica,immediate_solution_standard,NE,5,male,0,15000,standard_nt,23.93,2,0,1,Transamerica Life Insurance Co.,Immediate Solution - Standard,2026-08-14,2026-08-14
transamerica,immediate_solution_preferred,NE,5,male,0,25000,standard_nt,34.15,1,1,1,Transamerica Life Insurance Co.,Immediate Solution - Preferred,2026-08-14,2026-08-14
transamerica,immediate_solution_standard,NE,5,male,0,25000,standard_nt,37.48,2,0,1,Transamerica Life Insurance Co.,Immediate Solution - Standard,2026-08-14,2026-08-14
transamerica,immediate_solution_preferred,NE,5,male,0,40000,standard_nt,52.47,1,1,1,Transamerica Life Insurance Co.,Immediate Solution - Preferred,2026-08-14,2026-08-14
transamerica,immediate_solution_standard,NE,5,male,0,40000,standard_nt,57.8,2,0,1,Transamerica Life Insurance Co.,Immediate Solution - Standard,2026-08-14,2026-08-14
transamerica,immediate_solution_preferred,NE,5,male,0,50000,standard_nt,64.68,1,1,1,Transamerica Life Insurance Co.,Immediate Solution - Preferred,2026-08-14,2026-08-14
transamerica,immediate_solution_standard,NE,5,male,0,50000,standard_nt,71.34,2,0,1,Transamerica Life Insurance Co.,Immediate Solution - Standard,2026-08-14,2026-08-14
