carrier,product,state,age,sex,smoker,face_amount,health_class,monthly_premium,rank_in_quote,is_best,is_mvi_appointed,integrity_carrier,integrity_product,harvest_batch_id,source_date
transamerica,immediate_solution_preferred,NE,55,male,0,10000,standard_nt,35.72,1,1,1,Transamerica Life Insurance Co.,Immediate Solution - Preferred,2026-08-15,2026-08-15
moo,living_promise_level,NE,55,male,0,10000,standard_nt,35.94,2,0,1,United of Omaha,Living Promise Level,2026-08-15,2026-08-15
americo,eagle_select_1,NE,55,male,0,10000,standard_nt,35.94,3,0,1,Americo,Eagle Select 1,2026-08-15,2026-08-15
cigna,primary_plan,NE,55,male,0,10000,standard_nt,38.36,4,0,0,cigna,PRIMARY PLAN,2026-08-15,2026-08-15
logo,preferred,NE,55,male,0,10000,standard_nt,38.55,5,0,0,logo,Preferred,2026-08-15,2026-08-15
lbl,simpl_preferred,NE,55,male,0,10000,standard_nt,38.59,6,0,0,lbl,SIMPL Preferred,2026-08-15,2026-08-15
royal,simplified_issue_plan,NE,55,male,0,10000,standard_nt,39.08,7,0,0,royal,Simplified Issue Plan,2026-08-15,2026-08-15
transamerica,express_premier,NE,55,male,0,10000,standard_nt,39.21,8,0,1,Transamerica Life Insurance Co.,Express Premier,2026-08-15,2026-08-15
corebridge,simplinow_level,NE,55,male,0,10000,standard_nt,39.22,9,0,1,Corebridge Financial,SimpliNow Level,2026-08-15,2026-08-15
foresters,planright_preferred,NE,55,male,0,10000,standard_nt,39.25,10,0,0,foresters,PlanRight/Preferred,2026-08-15,2026-08-15
amam,senior_choice_immediate,NE,55,male,0,10000,standard_nt,40.03,11,0,1,American Amicable,Senior Choice Immediate,2026-08-15,2026-08-15
amam,golden_solution_immediate,NE,55,male,0,10000,standard_nt,41.3,12,0,1,American Amicable,Golden Solution Immediate,2026-08-15,2026-08-15
transamerica,immediate_solution_standard,NE,55,male,0,10000,standard_nt,42.33,13,0,1,Transamerica Life Insurance Co.,Immediate Solution - Standard,2026-08-15,2026-08-15
logo,standard,NE,55,male,0,10000,standard_nt,42.93,14,0,0,logo,Standard,2026-08-15,2026-08-15
logo,superior_choice,NE,55,male,0,10000,standard_nt,43.02,15,0,0,logo,Superior Choice,2026-08-15,2026-08-15
aetna,preferred,NE,55,male,0,10000,standard_nt,44.1,16,0,1,Aetna,Preferred,2026-08-15,2026-08-15
