carrier,product,state,age,sex,smoker,face_band,health_class,rate_per_thousand_annual,policy_fee_annual,modal_monthly_factor,source,source_rev,note
Transamerica,fe_express_solution,ALL,18,female,N,5000-9999,select_nonsmoker,51.53,42,0.086,Transamerica_FE_Express_Solution_Agent_Guide,3247945R11,
Transamerica,fe_express_solution,ALL,18,female,Y,5000-9999,select_smoker,53.87,42,0.086,Transamerica_FE_Express_Solution_Agent_Guide,3247945R11,
Transamerica,fe_express_solution,ALL,18,male,N,5000-9999,select_nonsmoker,54.68,42,0.086,Transamerica_FE_Express_Solution_Agent_Guide,3247945R11,
Transamerica,fe_express_solution,ALL,18,male,Y,5000-9999,select_smoker,57.07,42,0.086,Transamerica_FE_Express_Solution_Agent_Guide,3247945R11,
Transamerica,fe_express_solution,ALL,19,female,N,5000-9999,select_nonsmoker,57.13,42,0.086,Transamerica_FE_Express_Solution_Agent_Guide,3247945R11,
Transamerica,fe_express_solution,ALL,19,female,Y,5000-9999,select_smoker,59.95,42,0.086,Transamerica_FE_Express_Solution_Agent_Guide,3247945R11,
Transamerica,fe_express_solution,ALL,19,male,N,5000-9999,select_nonsmoker,60.73,42,0.086,Transamerica_FE_Express_Solution_Agent_Guide,3247945R11,
Transamerica,fe_express_solution,ALL,19,male,Y,5000-9999,select_smoker,63.34,42,0.086,Transamerica_FE_Express_Solution_Agent_Guide,3247945R11,
Transamerica,fe_express_solution,ALL,20,female,N,5000-9999,select_nonsmoker,58.53,42,0.086,Transamerica_FE_Express_Solution_Agent_Guide,3247945R11,
Transamerica,fe_express_solution,ALL,20,female,Y,5000-9999,select_smoker,61.47,42,0.086,Transamerica_FE_Express_Solution_Agent_Guide,3247945R11,
Transamerica,fe_express_solution,ALL,20,male,N,5000-9999,select_nonsmoker,62.25,42,0.086,Transamerica_FE_Express_Solution_Agent_Guide,3247945R11,
Transamerica,fe_express_solution,ALL,20,male,Y,5000-9999,select_smoker,64.91,42,0.086,Transamerica_FE_Express_Solution_Agent_Guide,3247945R11,
Transamerica,fe_express_solution,ALL,21,female,N,5000-9999,select_nonsmoker,59.0,42,0.086,Transamerica_FE_Express_Solution_Agent_Guide,3247945R11,
Transamerica,fe_express_solution,ALL,21,female,Y,5000-9999,select_smoker,62.18,42,0.086,Transamerica_FE_Express_Solution_Agent_Guide,3247945R11,
Transamerica,fe_express_solution,ALL,21,male,N,5000-9999,select_nonsmoker,62.48,42,0.086,Transamerica_FE_Express_Solution_Agent_Guide,3247945R11,
Transamerica,fe_express_solution,ALL,21,male,Y,5000-9999,select_smoker,65.41,42,0.086,Transamerica_FE_Express_Solution_Agent_Guide,3247945R11,
Transamerica,fe_express_solution,ALL,22,female,N,5000-9999,select_nonsmoker,59.46,42,0.086,Transamerica_FE_Express_Solution_Agent_Guide,3247945R11,
Transamerica,fe_express_solution,ALL,22,female,Y,5000-9999,select_smoker,62.9,42,0.086,Transamerica_FE_Express_Solution_Agent_Guide,3247945R11,
Transamerica,fe_express_solution,ALL,22,male,N,5000-9999,select_nonsmoker,62.71,42,0.086,Transamerica_FE_Express_Solution_Agent_Guide,3247945R11,
Transamerica,fe_express_solution,ALL,22,male,Y,5000-9999,select_smoker,65.91,42,0.086,Transamerica_FE_Express_Solution_Agent_Guide,3247945R11,
Transamerica,fe_express_solution,ALL,23,female,N,5000-9999,select_nonsmoker,59.92,42,0.086,Transamerica_FE_Express_Solution_Agent_Guide,3247945R11,
Transamerica,fe_express_solution,ALL,23,female,Y,5000-9999,select_smoker,63.61,42,0.086,Transamerica_FE_Express_Solution_Agent_Guide,3247945R11,
