product,risk_class,age,sex,tobacco,rate_per_1000,source,notes
10-Pay,Preferred,0,Female,Juvenile,16.44,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,0,Male,Juvenile,18.23,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,1,Female,Juvenile,16.72,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,1,Male,Juvenile,18.55,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,2,Female,Juvenile,16.99,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,2,Male,Juvenile,18.85,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,3,Female,Juvenile,17.27,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,3,Male,Juvenile,19.17,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,4,Female,Juvenile,17.54,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,4,Male,Juvenile,19.48,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,5,Female,Juvenile,17.82,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,5,Male,Juvenile,19.8,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,6,Female,Juvenile,18.23,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,6,Male,Juvenile,20.34,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,7,Female,Juvenile,18.64,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,7,Male,Juvenile,20.88,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,8,Female,Juvenile,19.06,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,8,Male,Juvenile,21.43,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,9,Female,Juvenile,19.47,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,9,Male,Juvenile,21.96,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,10,Female,Juvenile,19.88,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,10,Male,Juvenile,22.51,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,11,Female,Juvenile,20.39,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,11,Male,Juvenile,23.29,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,12,Female,Juvenile,20.9,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,12,Male,Juvenile,24.08,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,13,Female,Juvenile,21.42,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,13,Male,Juvenile,24.85,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
10-Pay,Preferred,14,Female,Juvenile,21.93,Final_Expense_Agent_Guide_2644970R5,Montana uses Unisex-Male rates per guide footnote
